Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-08-02,79.19103,81.29761,79.19103,80.5067,63198
2000-08-03,80.5067,80.5067,77.20247,78.49554,93845
2000-08-04,81.80228,83.30626,81.80228,82.99743,80240
2000-08-07,83.30626,83.30626,81.48843,81.48843,35682
2000-08-08,83.30626,85.00859,83.30626,84.50643,79217
2000-08-09,87.30598,90.10805,87.30598,89.29455,73117
2000-08-10,88.60156,88.60156,84.50643,86.30166,119605
2000-08-11,85.29733,85.29733,82.80409,83.30626,98933
2000-08-14,83.30626,83.80842,82.80409,83.49959,15783
2000-08-16,84.79517,86.5904,84.79517,86.5904,26796
2000-08-17,84.00175,84.79517,81.48843,82.80409,36147
2000-08-18,85.29733,85.29733,81.80228,85.00859,41827
2000-08-21,83.30626,83.80842,82.30193,82.99743,16848
2000-08-22,83.80842,83.80842,82.80409,83.80842,22073
2000-08-23,83.30626,84.79517,82.80409,83.30626,30243
2000-08-24,85.29733,86.30166,84.79517,85.79949,33400
2000-08-25,87.30598,87.81066,86.5904,86.80382,56691
2000-08-28,86.80382,86.80382,84.79517,85.29733,18174
2000-08-29,84.79517,85.51075,83.30626,85.51075,16478
2000-08-30,85.79949,87.09256,84.29301,85.00859,63090
2000-08-31,85.79949,91.59194,85.79949,91.59194,148374
2000-09-01,94.39401,98.19789,92.91012,96.90733,240569
2000-09-04,96.90733,97.40949,93.6031,93.6031,171550
2000-09-05,92.91012,94.89617,91.90579,94.89617,125372
2000-09-06,93.41228,95.1121,92.91012,94.39401,48752
2000-09-07,92.91012,93.6031,90.80103,93.41228,76436
2000-09-08,93.10094,93.10094,90.10805,90.80103,74670
2000-09-11,88.79238,89.79671,88.09689,88.60156,63140
2000-09-12,89.29455,92.59878,89.29455,92.59878,80962
2000-09-13,92.40795,93.41228,89.79671,90.80103,68495
2000-09-14,91.90579,92.91012,90.80103,92.59878,46475
2000-09-15,92.0941,92.0941,90.10805,90.80103,64342
2000-09-18,88.79238,89.79671,87.81066,89.29455,37479
2000-09-19,88.29022,89.29455,86.80382,87.30598,61682
2000-09-20,88.29022,88.29022,85.00859,85.29733,44441
2000-09-21,85.29733,85.29733,80.70003,81.80228,87357
2000-09-22,76.98905,78.68887,73.39859,76.50949,147888
2000-09-25,80.00454,80.70003,78.68887,79.69571,64245
2000-09-26,76.70031,77.20247,74.18698,75.19131,88936
2000-09-27,74.68915,76.50949,74.40291,74.90759,75505
2000-09-28,73.70742,73.70742,67.89238,70.69193,101798
2000-09-29,73.20526,74.68915,70.4057,73.90075,127540
2000-10-02,73.70742,78.68887,73.70742,77.20247,94045
2000-10-03,73.70742,75.69598,71.88959,74.68915,45202
2000-10-04,71.1941,75.69598,70.18977,74.68915,167127
2000-10-05,75.69598,83.30626,74.68915,77.99338,426209
2000-10-06,77.20247,78.68887,75.50516,76.50949,73928
2000-10-09,74.18698,76.19815,73.20526,75.19131,116246
2000-10-10,75.69598,75.69598,73.70742,74.68915,111356
2000-10-11,71.69626,71.69626,68.89921,70.69193,153618
2000-10-12,71.88959,73.39859,70.69193,70.69193,140707
2000-10-13,67.10147,68.61047,65.59247,68.39454,124359
2000-10-16,73.20526,73.90075,71.1941,72.89643,147653
2000-10-17,72.39175,74.40291,71.41254,73.90075,98211
2000-10-18,70.4057,71.69626,66.09715,67.60363,104909
2000-10-19,71.88959,74.68915,71.88959,72.20093,121197
2000-10-20,75.69598,75.69598,73.90075,74.90759,198671
2000-10-23,73.70742,73.70742,72.70309,73.20526,44792
2000-10-24,71.88959,73.70742,71.88959,72.89643,63253
2000-10-25,71.69626,71.69626,69.5922,70.4057,30773
2000-10-26,70.69193,70.69193,68.89921,69.5922,41235
2000-10-27,70.4057,70.4057,69.08752,69.40138,24498
2000-10-30,69.5922,69.90354,68.10831,69.90354,24985
2000-10-31,68.61047,70.90786,68.61047,70.69193,39954
2000-11-02,72.70309,74.68915,72.20093,74.68915,73314
2000-11-03,76.19815,77.70714,76.19815,76.98905,190231
2000-11-06,76.70031,81.80228,76.70031,81.80228,173306
2000-11-07,81.80228,82.49526,79.19103,80.70003,101401
2000-11-08,80.70003,80.70003,78.20931,79.19103,98292
2000-11-09,77.49121,77.70714,75.19131,77.20247,128294
2000-11-10,76.70031,76.70031,73.39859,75.19131,77111
2000-11-13,71.1941,71.1941,67.60363,70.18977,227417
2000-11-14,75.69598,75.69598,71.69626,71.69626,247187
2000-11-15,68.10831,68.10831,58.29354,59.00912,269717
2000-11-16,61.31154,61.31154,53.19408,59.30038,488923
2000-11-17,57.50263,61.59526,57.31181,59.80254,134307
2000-11-20,59.60921,61.0931,57.50263,57.79138,94609
2000-11-21,58.50696,59.00912,56.80714,57.31181,87443
2000-11-22,57.50263,57.50263,53.50542,55.49147,102770
2000-11-23,55.49147,55.99615,53.79165,54.50975,77413
2000-11-24,55.49147,57.31181,54.98931,56.80714,155811
2000-11-27,58.50696,59.00912,56.49831,56.80714,172363
2000-11-28,56.80714,57.31181,54.98931,55.49147,74509
2000-11-29,54.00758,54.79598,53.00326,53.19408,131270
2000-11-30,51.99642,52.20984,48.90812,49.50821,154731
2000-12-01,50.01037,50.9921,49.10145,49.19435,109287
2000-12-04,48.40596,48.59678,46.20147,46.29939,91195
2000-12-05,47.30371,47.39912,46.20147,46.89696,119530
2000-12-06,49.60362,49.88985,48.40596,49.50821,166425
2000-12-07,50.19868,54.00758,49.50821,53.79165,292002
2000-12-08,57.00047,58.50696,55.99615,56.49831,254275
2000-12-11,58.0048,58.0048,55.99615,56.49831,151476
2000-12-12,55.80281,56.80714,54.50975,55.30065,146529
