Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2020-01-02,8739.99897,8849.99755,8704.9966,8844.99573,2307
2020-01-03,8720.00206,8824.99881,8599.99984,8824.99881,2090
2020-01-07,8775.00134,9035.00269,8700.00514,8739.99897,2905
2020-01-08,8599.99984,8720.00206,8529.9951,8649.99731,3252
2020-01-09,8789.99644,8789.99644,8660.00095,8704.9966,2109
2020-01-10,8649.99731,8734.99715,8649.99731,8709.99842,726
2020-01-13,8700.00514,8755.00443,8589.99621,8755.00443,1361
2020-01-14,8665.00277,8769.99953,8509.99818,8709.99842,2461
2020-01-15,8679.99787,8780.00316,8635.00221,8729.99534,907
2020-01-16,8769.99953,8775.00134,8630.0004,8700.00514,1794
2020-01-17,8684.99968,8814.99518,8679.99787,8739.99897,1197
2020-01-20,8739.99897,8794.99826,8660.00095,8709.99842,755
2020-01-21,8665.00277,8755.00443,8504.99636,8599.99984,955
2020-01-22,8649.99731,8654.99913,8529.9951,8635.00221,1020
2020-01-23,8635.00221,8660.00095,8559.99565,8614.99494,773
2020-01-24,8614.99494,8720.00206,8580.00292,8585.00474,756
2020-01-27,8479.99763,8545.00055,8309.99794,8385.00451,1199
2020-01-28,8380.00269,8460.00071,8205.00119,8394.99779,1480
2020-01-29,8385.00451,8589.99621,8329.99486,8534.99692,1026
2020-01-30,8419.99652,8635.00221,8410.00324,8569.99929,2079
2020-01-31,8660.00095,8660.00095,8304.99613,8465.00253,2321
2020-02-03,8495.00308,8599.99984,8215.00482,8300.00466,2053
2020-02-04,8500.0049,8630.0004,8300.00466,8610.00348,5211
2020-02-05,8599.99984,8750.00261,8550.00237,8679.99787,1939
2020-02-06,8695.00332,8709.99842,8449.99707,8460.00071,1777
2020-02-07,8500.0049,8515,8380.00269,8415.00506,1363
2020-02-10,8484.99945,8515,8385.00451,8424.99834,778
2020-02-11,8500.0049,8500.0049,8355.00395,8410.00324,1495
2020-02-12,8375.00087,8490.00126,8355.00395,8419.99652,2470
2020-02-13,8380.00269,8460.00071,8304.99613,8415.00506,1080
2020-02-14,8479.99763,8479.99763,8334.99668,8334.99668,720
2020-02-17,8380.00269,8380.00269,8304.99613,8320.00158,471
2020-02-18,8249.99684,8394.99779,8249.99684,8359.99541,763
2020-02-19,8359.99541,8449.99707,8309.99794,8430.00016,1006
2020-02-20,8389.99597,8460.00071,8320.00158,8320.00158,936
2020-02-21,8320.00158,8350.00213,8139.99826,8199.99937,1669
2020-02-24,8109.99771,8155.00372,7574.99992,7714.99905,4181
2020-02-25,7764.99652,7785.00379,7344.99913,7440.00261,4206
2020-02-26,7525.00245,7594.99684,7254.99747,7350.00095,4311
2020-02-27,7380.0015,7380.0015,6990.00466,7045.00395,4129
2020-02-28,6799.99771,7010.00158,6700.00277,6900.003,6505
2020-03-02,7040.00213,7075.00451,6790.00443,6889.99937,4047
2020-03-03,6900.003,7555.003,6900.003,7369.99787,4153
2020-03-04,7279.99621,7334.99549,7109.99652,7245.00419,2643
2020-03-05,7219.9951,7300.00348,7100.00324,7109.99652,3178
2020-03-06,7100.00324,7109.99652,6744.99842,6845.00372,4827
2020-03-09,6369.99668,6555.00182,6054.99605,6199.997,5345
2020-03-10,6155.00134,6259.9981,5994.99494,5994.99494,4819
2020-03-11,5999.99676,6045.00277,5399.99605,5549.99881,6023
2020-03-12,4986.00498,5064.9985,4489.99652,4659.99621,5458
2020-03-13,4753.99518,4928.00253,4250.00245,4802.00435,8715
2020-03-16,4551.99628,4551.99628,3919.99636,4450.00269,6640
2020-03-17,4450.00269,5140.00506,4145.99984,4999.99557,8488
2020-03-18,5105.00269,5245.00182,4599.9951,4680.00348,8067
2020-03-19,4701.99905,4972.00403,4294.00395,4799.99534,12889
2020-03-20,5004.99739,5100.00087,4859.99644,4983.99597,9997
2020-03-23,4806.00166,4983.99597,4641.99794,4901.99929,3505
2020-03-24,5009.99921,5494.99953,4910.00427,5399.99605,4411
2020-03-25,5464.99897,5795.00506,5140.00506,5204.99763,4394
2020-03-26,5015.00103,5510.00498,5015.00103,5420.00332,2311
2020-03-27,5549.99881,5549.99881,5204.99763,5220.00308,2846
2020-03-30,5324.99984,5330.00166,4900.00063,5195.00435,2553
2020-03-31,5229.99636,5344.99676,5130.00142,5229.99636,4008
2020-04-01,5124.9996,5195.00435,4947.99945,4947.99945,3698
2020-04-02,4900.00063,4900.00063,4636.00198,4740.00458,5854
2020-04-03,4700.0004,4898.00198,4558.00261,4786.00474,4768
2020-04-06,4960.00174,5165.00379,4884.00103,5149.99834,2574
2020-04-07,5250.00364,5629.99684,5209.99945,5434.99842,5078
2020-04-08,5324.99984,5514.99644,5310.00474,5450.00387,3995
2020-04-09,5369.99549,5634.99866,5305.00292,5634.99866,3662
2020-04-14,5799.99652,5909.9951,5510.00498,5760.00269,4322
2020-04-15,5795.00506,5840.00071,5510.00498,5650.00411,3628
2020-04-16,5749.99905,5769.99597,5409.99968,5480.00443,3508
2020-04-17,5579.99937,5755.00087,5510.00498,5700.00158,2700
2020-04-20,5880.0049,5880.0049,5579.99937,5755.00087,1818
2020-04-21,5705.0034,5749.99905,5500.00134,5544.997,1761
2020-04-22,5544.997,5675.00285,5399.99605,5629.99684,1578
2020-04-23,5689.99794,5834.99889,5579.99937,5829.99707,1957
2020-04-24,5829.99707,6075.00332,5760.00269,5919.99874,2619
2020-04-27,6040.00095,6160.00316,5760.00269,5880.0049,2982
2020-04-28,5895,6095.00024,5755.00087,6034.99913,2614
2020-04-29,6084.9966,6969.99739,6029.99731,6790.00443,10143
2020-04-30,6950.00047,7240.00237,6355.00158,6500.00253,7083
2020-05-04,6399.99723,6399.99723,6040.00095,6075.00332,4327
2020-05-05,6050.00458,6220.00427,5859.99763,6199.997,2513
2020-05-06,6160.00316,6279.99502,6045.00277,6100.00206,2581
2020-05-07,6105.00387,6374.9985,6050.00458,6224.99573,2189
2020-05-08,6250.00482,6440.00142,6250.00482,6355.00158,1744
2020-05-11,6410.00087,6429.99779,6160.00316,6250.00482,3107
2020-05-12,6185.0019,6330.00285,6100.00206,6264.99992,3526
2020-05-13,6169.99644,6380.00032,6169.99644,6295.00047,3699
2020-05-14,6174.99826,6264.99992,5909.9951,6024.99549,3232
2020-05-15,6010.0004,6149.99953,5939.99565,5949.99929,1971
2020-05-18,5935.00419,6045.00277,5854.99581,5994.99494,5276
2020-05-19,6089.99842,6314.99739,5949.99929,6254.99628,3705
2020-05-20,6254.99628,6319.99921,6160.00316,6295.00047,1845
2020-05-21,6215.00245,6300.00229,6185.0019,6185.0019,952
2020-05-22,6125.00079,6250.00482,5990.00348,6220.00427,2088
2020-05-25,6204.99881,6254.99628,6160.00316,6234.99937,1403
2020-05-26,6254.99628,6564.9951,6220.00427,6509.99581,2394
2020-05-27,6470.00198,6815.00316,6470.00198,6645.00348,3216
